model,modality,excluded_viz,baseline_em,ablated_em,delta_em,baseline_f1,ablated_f1,delta_f1,baseline_numeric,ablated_numeric,delta_numeric,remaining_rows
qwen,tabular,scatter_plot,0.37745042492917846,0.4280453257790368,0.05059490084985835,0.3239654736198645,0.36161249200909257,0.03764701838922807,0.11784702549575071,0.13611898016997168,0.018271954674220964,16550
qwen,tabular,table_image,0.37745042492917846,0.33541076487252125,-0.04203966005665721,0.3239654736198645,0.2941554864713505,-0.029809987148514017,0.11784702549575071,0.10524079320113315,-0.012606232294617561,16550
qwen,tabular,text_only,0.37745042492917846,0.34929178470254957,-0.028158640226628895,0.3239654736198645,0.3031778113293694,-0.020787662290495112,0.11784702549575071,0.11203966005665722,-0.0058073654390934926,16550
qwen,timeseries,gaf,0.24321167883211678,0.2509124087591241,0.007700729927007294,0.24729927007299274,0.25200729927007304,0.004708029197080299,0.06087591240875912,0.07372262773722628,0.012846715328467158,16945
qwen,timeseries,heatmap,0.24321167883211678,0.2514598540145985,0.008248175182481748,0.24729927007299274,0.25237226277372266,0.005072992700729917,0.06087591240875912,0.06934306569343066,0.008467153284671534,16945
qwen,timeseries,line_plot,0.24321167883211678,0.23576642335766423,-0.0074452554744525445,0.24729927007299274,0.23704379562043795,-0.010255474452554786,0.06087591240875912,0.0395985401459854,-0.021277372262773722,16945
qwen,timeseries,recurrence_plot,0.24321167883211678,0.256021897810219,0.012810218978102222,0.24729927007299274,0.2568430656934307,0.009543795620437945,0.06087591240875912,0.07463503649635037,0.013759124087591244,16945
qwen,timeseries,text_only,0.24321167883211678,0.22189781021897811,-0.021313868613138665,0.24729927007299274,0.23822992700729928,-0.009069343065693458,0.06087591240875912,0.04708029197080292,-0.0137956204379562,16945
qwen,graph,adjacency_matrix,0.3534090909090909,0.37727272727272726,0.023863636363636365,0.34924242424242424,0.37272727272727274,0.023484848484848497,0.06931818181818182,0.08080808080808081,0.011489898989898994,17655
qwen,graph,circular_layout,0.3534090909090909,0.35808080808080806,0.00467171717171716,0.34924242424242424,0.353030303030303,0.0037878787878787845,0.06931818181818182,0.08333333333333333,0.014015151515151508,17655
qwen,graph,node_link,0.3534090909090909,0.3505050505050505,-0.002904040404040409,0.34924242424242424,0.346969696969697,-0.0022727272727272596,0.06931818181818182,0.07676767676767676,0.007449494949494942,17655
qwen,graph,text_only,0.3534090909090909,0.3277777777777778,-0.025631313131313116,0.34924242424242424,0.3242424242424242,-0.025000000000000022,0.06931818181818182,0.03636363636363636,-0.03295454545454546,17655
